Program Version:,EnergyPlus, Version 9.0.1-bb7ca4f0da, YMD=2022.07.26 12:19
Tabular Output Report in Format: ,Comma

Building:,CLGSetPtNormal
Environment:,TYPICAL SUMMER WEEK ** Pasco WA USA TMY3 WMO#=727845

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over       120.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kWh],Energy Per Total Building Area [kWh/m2],Energy Per Conditioned Building Area [kWh/m2]
,Total Site Energy,8059.69,3.80,3.80
,Net Site Energy,8114.05,3.83,3.83
,Total Source Energy,25525.05,12.04,12.04
,Net Source Energy,25697.20,12.12,12.12


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,0.300
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil #1,1.050
,Fuel Oil #2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,2120.79
,Net Conditioned Building Area,2120.79
,Unconditioned Building Area,0.00


End Uses

,,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,900.73,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,499.38,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,5938.37,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,331.50,0.00,0.00,0.00,0.00,0.00
,Pumps,177.20,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,212.52,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,
,Total End Uses,8059.69,0.00,0.00,0.00,0.00,0.00


End Uses By Subcategory

,,Subcategory,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,Boiler,0.00,0.00,0.00,0.00,0.00,0.00
,,Boiler Parasitic,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,General,900.73,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,General Lights,499.38,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,General,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,MiscPlug,5938.37,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,General,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,Unit Heater Fans,0.00,0.00,0.00,0.00,0.00,0.00
,,General,331.50,0.00,0.00,0.00,0.00,0.00
,Pumps,General,177.20,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,General,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,212.52,0.00,0.00,0.00,0.00,0.00
,Water Systems,General,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,DCtoACInverter Ancillary,0.00,0.00,0.00,0.00,0.00,0.00


Normalized Metrics
Utility Use Per Conditioned Floor Area

,,Electricity Intensity [kWh/m2],Natural Gas Intensity [kWh/m2],Additional Fuel Intensity [kWh/m2],District Cooling Intensity [kWh/m2],District Heating Intensity [kWh/m2],Water Intensity [m3/m2]
,Lighting,0.24,0.00,0.00,0.00,0.00,0.00
,HVAC,0.66,0.00,0.00,0.00,0.00,0.00
,Other,2.90,0.00,0.00,0.00,0.00,0.00
,Total,3.80,0.00,0.00,0.00,0.00,0.00


Utility Use Per Total Floor Area

,,Electricity Intensity [kWh/m2],Natural Gas Intensity [kWh/m2],Additional Fuel Intensity [kWh/m2],District Cooling Intensity [kWh/m2],District Heating Intensity [kWh/m2],Water Intensity [m3/m2]
,Lighting,0.24,0.00,0.00,0.00,0.00,0.00
,HVAC,0.66,0.00,0.00,0.00,0.00,0.00
,Other,2.90,0.00,0.00,0.00,0.00,0.00
,Total,3.80,0.00,0.00,0.00,0.00,0.00


Electric Loads Satisfied

,,Electricity [kWh],Percent Electricity [%]
,Fuel-Fired Power Generation,0.000,0.00
,High Temperature Geothermal*,0.000,0.00
,Photovoltaic Power,0.000,0.00
,Wind Power,0.000,0.00
,Power Conversion,0.000,0.00
,Net Decrease in On-Site Storage,-54.36,-0.7
,Total On-Site Electric Sources,-54.36,-0.7
,,,
,Electricity Coming From Utility,8114.050,100.67
,Surplus Electricity Going To Utility,0.000,0.00
,Net Electricity From Utility,8114.050,100.67
,,,
,Total On-Site and Utility Electric Sources,8059.694,100.00
,Total Electricity End Uses,8059.694,100.00
